task_id,skill_group,group_hours_in_mixture,instruction,G2-90D_SR_0.3k,G2-90D_SR_1.2k,G2-90D_SR_5k,G2-90D_SR_30k,G1-OP_SR_0.3k,G1-OP_SR_1.2k,G1-OP_SR_5k,G1-OP_SR_30k,note
28,Pass,590.8,Use the right arm to pass the orange ball to the left arm. Normal pace.,0,0,0,0,70.0,70.0,80.0,100,
29,Pass,590.8,Use the left arm to pass the sponge eraser to the right arm.,40.0,50.0,60.0,80.0,60.0,90.0,100,100,
30,Pass,590.8,Use the right arm to pass the rubik's cube to the left arm.,0,0,0,0,0,0,0,0,
31,Pass,590.8,Use the left arm to pass the cola can to the right arm.,0,20.0,20.0,30.0,0,40.0,60.0,70.0,
32,Fold,557.3,Folds the towel with the right arm. Normal pace.,30.0,20.0,30.0,10.0,0,0,40.0,50.0,
33,Fold,557.3,Folds the towel with both arms. Normal pace.,0,0,0,0,0,0,0,10.0,
34,Fold,557.3,Folds the rag twice with both arms. Normal pace.,0,0,0,0,0,0,0,0,
35,Fold,557.3,Unfolds the folded towel with both arms. Normal pace.,0,0,0,0,20.0,0,0,0,
36,Straighten,510.5,Straightens the water bottle with the right arm. Normal pace.,0,0,0,10.0,0,0,0,10.0,
37,Straighten,510.5,Straightens the water bottle with the right arm. Normal pace.,0,0,10.0,50.0,0,0,0,40.0,
38,Straighten,510.5,Straightens the water cup with the right arm. Normal pace.,0,0,0,40.0,0,0,0,60.0,
39,Straighten,510.5,Straightens the water cup with the right arm. Normal pace.,0,0,0,0,0,0,0,30.0,
40,Straighten,510.5,Straightens the soda drink with the right arm. Normal pace.,0,0,0,20.0,0,0,0,10.0,
41,Pour,392.3,Pours the fruits in the red cup into the plate with the right arm. Nromal pace.,30.0,20.0,20.0,30.0,20.0,40.0,50.0,70.0,
42,Pour,392.3,Pours the white sesame into the plate with right arm. Normal pace.,0,0,10.0,40.0,30.0,40.0,30.0,60.0,
43,Pour,392.3,Pours sugar powder from plastic bag into glass cup. Normal pace.,0,0,0,10.0,10.0,20.0,30.0,50.0,
44,Pour,392.3,Pours the beans from the paper cup into the empty water cup with the right arm. Normal pace.,0,0,10.0,10.0,0,20.0,40.0,50.0,
45,Pour,392.3,Pours the small cubes in the blue cup into the bowl. Normal pace.,0,30.0,0,10.0,0,0,0,40.0,
46,Push,254.2,Pushes the red block to the left side of the table with the right arm. Normal pace.,0,0,0,10.0,30.0,40.0,0,70.0,
47,Push,254.2,Pushes the paper cup to the center of the table with the right arm. Normal pace.,0,20.0,30.0,50.0,0,20.0,30.0,60.0,
48,Push,254.2,Pushes the black box to the left side of the table with the right arm. Normal pace.,0,0,10.0,20.0,40.0,40.0,60.0,70.0,
49,Push,254.2,Pushes the green kettle forward with the right arm. Normal pace.,0,60.0,20.0,30.0,30.0,20.0,20.0,50.0,
50,Push,254.2,Pushes the book towards the table edge with the right arm. Normal pace.,0,0,0,0,0,0,0,30.0,
51,Push,254.2,Pushes the tissue pack into the tissue box with the right arm. Normal pace.,0,0,0,10.0,0,0,0,0,
52,Push,254.2,Closes the drawer with the right arm. Normal pace.,0,0,0,0,20.0,50.0,60.0,70.0,
53,Push,254.2,Rolls the bottlewith the right arm. Normal pace.,0,0,10.0,10.0,0,0,0,10.0,
54,Insert,212.3,Insert the bread into the bread machine with the right arm. Normal pace.,30.0,30.0,40.0,50.0,0,0,0,50.0,
55,Insert,212.3,Inserts the flower into the vase with the right arm. Normal pace.,0,0,20.0,30.0,0,0,0,40.0,
56,Insert,212.3,Inserts the straw into the plastic cup with the right arm. Normal pace.,30.0,40.0,30.0,40.0,20.0,30.0,40.0,70.0,
57,Insert,212.3,Inserts the plug into the power strip with the right arm. Normal pace.,0,0,0,0,0,0,0,0,
58,Insert,212.3,Takes out the right-side book from the bookshelf with the right arm. Normal pace.,0,0,20.0,50.0,0,0,0,60.0,
59,Insert,212.3,Puts the red book into the bookshelf with the right arm. Normal pace.,20.0,30.0,30.0,40.0,0,0,0,10.0,
60,Close,181.7,Closes the tissue box lid with the right arm. Normal pace.,0,50.0,40.0,40.0,10.0,30.0,40.0,70.0,
61,Close,181.7,Closes the light blue box lid with the right arm. Normal pace.,0,70.0,60.0,80.0,30.0,50.0,40.0,90.0,
62,Close,181.7,Closes the kettle lid with the right arm. Normal pace.,20.0,30.0,30.0,40.0,30.0,60.0,90.0,100,
63,Separate,168.6,Covers the pen cap with both arms. Normal pace.,0,0,0,0,0,0,0,0,excluded from analysis (assembly direction)
64,Separate,168.6,Separates the paper cups with both arms. Normal pace.,0,20.0,20.0,20.0,0,0,0,20.0,
65,Separate,168.6,Sepearate the signature pen cap with the right arm while holding the pen with the left arm. Normal pace.,0,10.0,10.0,30.0,0,0,0,80.0,
66,Separate,168.6,Unscrews the bottle cap with both arms. Normal pace.,0,10.0,0,0,0,0,0,30.0,
67,Separate,168.6,Screws the bottle cap back on with both arms. Normal pace.,0,0,0,0,0,0,0,0,excluded from analysis (assembly direction)
68,Press,145.4,Presses the lamp switch with the right arm. Normal pace.,0,0,0,0,0,0,0,0,
69,Press,145.4,Presses the button of the bread machine with the right arm. Normal pace.,0,0,0,0,0,0,10.0,30.0,
70,Press,145.4,Presses the stapler to staple with the right arm. Normal pace.,0,0,10.0,20.0,0,0,10.0,30.0,
71,Press,145.4,Presses the button of the calculator with the right arm. Normal pace,0,0,0,10.0,0,0,0,10.0,
72,Pull,143.9,Pull off the pen cap with the right arm. Normal pace.,0,0,0,20.0,0,0,0,20.0,
73,Pull,143.9,Pull out one piece of tissue from the tissue bag with the right arm. Normal pace.,0,0,30.0,40.0,10.0,30.0,30.0,80.0,
74,Pull,143.9,Pulls the tray to the front of the table with the right arm. Normal pace.,0,0,0,10.0,0,0,10.0,30.0,
75,Pull,143.9,Pulls the cable out of the storage box with the right arm. Normal pace.,0,0,0,0,0,0,0,0,
76,Pull,143.9,Unplugs the charger from the power strip with the right arm while holding the power strip with the left arm. Normal pace.,0,0,0,10.0,0,0,0,0,
77,Pull,143.9,Opens the drawer with the right arm. Normal pace.,0,0,0,0,0,0,0,10.0,
78,Hang,139.4,Pick the yellow towel from the rod and place it on the table with the right arm. Normal speed.,0,0,30.0,50.0,0,0,10.0,60.0,
79,Hang,139.4,Hang the yellow towel on the rod with the right arm. Normal pace.,0,0,0,0,0,0,0,0,
80,Hang,139.4,Hangs the rag on the storage box with the left arm. Normal pace.,0,30.0,20.0,20.0,20.0,0,0,0,
81,Hang,139.4,Hangs the hat on the coat rack with the right arm. Normal pace.,0,0,0,0,0,0,0,0,
82,Tear,101.5,Tears open the envelope with the left arm. Normal pace.,0,0,0,10.0,0,0,0,10.0,
83,Tear,101.5,Tears off one sheet of paper towel from the roll with both arms. Normal pace.,0,0,0,0,0,0,0,0,
84,Flip,100.3,Closes the open book with the right arm. Normal pace.,0,0,20.0,30.0,0,50.0,70.0,90.0,
85,Flip,100.3,Opens the book with the right arm. Normal pace.,0,0,0,0,0,0,0,0,
86,Flip,100.3,Flips the book to the front side with the right arm. Normal pace.,0,0,0,0,0,0,0,0,
87,Flip,100.3,Flips the plate over with the right arm. Normal pace.,0,0,0,0,0,0,0,0,
88,Flip,100.3,Flips the coaster to the front side with the right arm. Normal pace.,0,60.0,70.0,90.0,60.0,70.0,60.0,80.0,
89,Flip,100.3,Flips the packaged tissues to the front side with the right arm. Normal pace.,0,0,0,0,0,0,0,0,
90,Sweep,64.6,Dual arms collaborate to use the white broom to sweep fruit cubes into the white dustpan. Normal pace.,0,0,0,0,0,0,0,10.0,
91,Sweep,64.6,Sweep the fruit cubes with the right hand. Normal pace.,0,0,0,10.0,0,0,0,0,
101,Sweep,64.6,Sweeps the fruit cubes into the dustpan with the brush in the right arm while holding the dustpan with the left arm. Normal pace.,0,0,0,10,0,0,0,0,
92,Zip,16.4,Zips up the file bag with both arms. Normal pace.,0,0,0,0,0,0,0,0,
93,Zip,16.4,Unzips the file bag with both arms. Normal pace.,0,0,0,0,0,0,0,0,
102,Zip,16.4,Unzips the pencil case with the right arm while holding the case with the left arm. Normal pace.,0,0,0,0,0,0,0,0,
94,Shake/Stir,8.1,Shakes the glass bottle with the right arm. Normal pace.,0,40.0,40.0,60.0,0,0,10.0,20.0,
95,Shake/Stir,8.1,Shakes the bottle to check the remaining amount with the right arm. Normal pace.,0,30.0,40.0,60.0,0,0,10.0,30.0,
96,Shake/Stir,8.1,Stirs the coffee in the glass cup with the chopstick with the right arm. Normal pace.,0,0,0,0,0,0,0,0,
97,Shake/Stir,8.1,Stirs the water in the bowl with the spoon with the right arm. Normal pace.,0,0,0,10.0,0,0,0,0,
