skill_group,task_label,instruction,published_frame,clip_key,clip_file,poster_file
wipe,table with eraser,Wipes the table with the eraser with the right arm. Normal pace.,,wipe__table_with_eraser,assets/video/wall/wipe__table_with_eraser.mp4,assets/video/wall/wipe__table_with_eraser.jpg (optional; frame is the default poster)
stack,cube on block,Stack the red cube on the yellow block with the right arm. Normal pace.,assets/frames/stack_cube.jpg,stack__cube_on_block,assets/video/wall/stack__cube_on_block.mp4,assets/video/wall/stack__cube_on_block.jpg (optional; frame is the default poster)
stack,cup on cup,Stack the paper cup on the other paper cup with the right arm. Normal pace.,,stack__cup_on_cup,assets/video/wall/stack__cup_on_cup.mp4,assets/video/wall/stack__cup_on_cup.jpg (optional; frame is the default poster)
stack,bowl on bowl,Stack the bowl on the other bowl with the right arm. Normal pace.,,stack__bowl_on_bowl,assets/video/wall/stack__bowl_on_bowl.mp4,assets/video/wall/stack__bowl_on_bowl.jpg (optional; frame is the default poster)
stack,coaster on coaster,Stack the coaster on the other coaster with the right arm. Normal pace.,,stack__coaster_on_coaster,assets/video/wall/stack__coaster_on_coaster.mp4,assets/video/wall/stack__coaster_on_coaster.jpg (optional; frame is the default poster)
stack,cola on cola,Stack the cola can on the other cola can with the right arm. Normal pace.,assets/frames/stack_cola.jpg,stack__cola_on_cola,assets/video/wall/stack__cola_on_cola.mp4,assets/video/wall/stack__cola_on_cola.jpg (optional; frame is the default poster)
stack,lid on cutlery box,Covers the cutlery box with the lid with the right arm. Normal pace.,,stack__lid_on_cutlery_box,assets/video/wall/stack__lid_on_cutlery_box.mp4,assets/video/wall/stack__lid_on_cutlery_box.jpg (optional; frame is the default poster)
stack,trash can lid,Covers the trash can lid with the right arm. Normal pace.,,stack__trash_can_lid,assets/video/wall/stack__trash_can_lid.mp4,assets/video/wall/stack__trash_can_lid.jpg (optional; frame is the default poster)
pass,remote L→R,Use the left arm to pass the remote control to the right arm.,assets/frames/pass_remote.jpg,pass__remote_ltor,assets/video/wall/pass__remote_ltor.mp4,assets/video/wall/pass__remote_ltor.jpg (optional; frame is the default poster)
pass,ball R→L,Use the right arm to pass the orange ball to the left arm. Normal pace.,assets/frames/pass_ball.jpg,pass__ball_rtol,assets/video/wall/pass__ball_rtol.mp4,assets/video/wall/pass__ball_rtol.jpg (optional; frame is the default poster)
pass,sponge eraser L→R,Use the left arm to pass the sponge eraser to the right arm.,,pass__sponge_eraser_ltor,assets/video/wall/pass__sponge_eraser_ltor.mp4,assets/video/wall/pass__sponge_eraser_ltor.jpg (optional; frame is the default poster)
pass,rubik’s cube R→L,Use the right arm to pass the rubik’s cube to the left arm.,,pass__rubiks_cube_rtol,assets/video/wall/pass__rubiks_cube_rtol.mp4,assets/video/wall/pass__rubiks_cube_rtol.jpg (optional; frame is the default poster)
pass,cola can L→R,Use the left arm to pass the cola can to the right arm.,,pass__cola_can_ltor,assets/video/wall/pass__cola_can_ltor.mp4,assets/video/wall/pass__cola_can_ltor.jpg (optional; frame is the default poster)
fold,"towel, one arm",Folds the towel with the right arm. Normal pace.,assets/frames/fold_towel.jpg,fold__towel_one_arm,assets/video/wall/fold__towel_one_arm.mp4,assets/video/wall/fold__towel_one_arm.jpg (optional; frame is the default poster)
fold,"towel, both arms",Folds the towel with both arms. Normal pace.,,fold__towel_both_arms,assets/video/wall/fold__towel_both_arms.mp4,assets/video/wall/fold__towel_both_arms.jpg (optional; frame is the default poster)
fold,rag twice,Folds the rag twice with both arms. Normal pace.,,fold__rag_twice,assets/video/wall/fold__rag_twice.mp4,assets/video/wall/fold__rag_twice.jpg (optional; frame is the default poster)
fold,unfold towel,Unfolds the folded towel with both arms. Normal pace.,,fold__unfold_towel,assets/video/wall/fold__unfold_towel.mp4,assets/video/wall/fold__unfold_towel.jpg (optional; frame is the default poster)
straighten,water bottle,Straightens the water bottle with the right arm. Normal pace.,assets/frames/straighten_bottle.jpg,straighten__water_bottle,assets/video/wall/straighten__water_bottle.mp4,assets/video/wall/straighten__water_bottle.jpg (optional; frame is the default poster)
straighten,water bottle [2],Straightens the water bottle with the right arm. Normal pace.,,straighten__water_bottle_2,assets/video/wall/straighten__water_bottle_2.mp4,assets/video/wall/straighten__water_bottle_2.jpg (optional; frame is the default poster)
straighten,water cup,Straightens the water cup with the right arm. Normal pace.,,straighten__water_cup,assets/video/wall/straighten__water_cup.mp4,assets/video/wall/straighten__water_cup.jpg (optional; frame is the default poster)
straighten,water cup [2],Straightens the water cup with the right arm. Normal pace.,,straighten__water_cup_2,assets/video/wall/straighten__water_cup_2.mp4,assets/video/wall/straighten__water_cup_2.jpg (optional; frame is the default poster)
straighten,soda drink,Straightens the soda drink with the right arm. Normal pace.,,straighten__soda_drink,assets/video/wall/straighten__soda_drink.mp4,assets/video/wall/straighten__soda_drink.jpg (optional; frame is the default poster)
pour,fruits → plate,Pours the fruits in the red cup into the plate with the right arm. Normal pace.,,pour__fruits_to_plate,assets/video/wall/pour__fruits_to_plate.mp4,assets/video/wall/pour__fruits_to_plate.jpg (optional; frame is the default poster)
pour,sesame → plate,Pours the white sesame into the plate with right arm. Normal pace.,assets/frames/pour_sesame.jpg,pour__sesame_to_plate,assets/video/wall/pour__sesame_to_plate.mp4,assets/video/wall/pour__sesame_to_plate.jpg (optional; frame is the default poster)
pour,sugar → glass cup,Pours sugar powder from plastic bag into glass cup. Normal pace.,,pour__sugar_to_glass_cup,assets/video/wall/pour__sugar_to_glass_cup.mp4,assets/video/wall/pour__sugar_to_glass_cup.jpg (optional; frame is the default poster)
pour,beans → water cup,Pours the beans from the paper cup into the empty water cup with the right arm. Normal pace.,assets/frames/pour_beans.jpg,pour__beans_to_water_cup,assets/video/wall/pour__beans_to_water_cup.mp4,assets/video/wall/pour__beans_to_water_cup.jpg (optional; frame is the default poster)
pour,cubes → bowl,Pours the small cubes in the blue cup into the bowl. Normal pace.,,pour__cubes_to_bowl,assets/video/wall/pour__cubes_to_bowl.mp4,assets/video/wall/pour__cubes_to_bowl.jpg (optional; frame is the default poster)
push,block to the left,Pushes the red block to the left side of the table with the right arm. Normal pace.,,push__block_to_the_left,assets/video/wall/push__block_to_the_left.mp4,assets/video/wall/push__block_to_the_left.jpg (optional; frame is the default poster)
push,paper cup to center,Pushes the paper cup to the center of the table with the right arm. Normal pace.,,push__paper_cup_to_center,assets/video/wall/push__paper_cup_to_center.mp4,assets/video/wall/push__paper_cup_to_center.jpg (optional; frame is the default poster)
push,black box to the left,Pushes the black box to the left side of the table with the right arm. Normal pace.,,push__black_box_to_the_left,assets/video/wall/push__black_box_to_the_left.mp4,assets/video/wall/push__black_box_to_the_left.jpg (optional; frame is the default poster)
push,kettle forward,Pushes the green kettle forward with the right arm. Normal pace.,,push__kettle_forward,assets/video/wall/push__kettle_forward.mp4,assets/video/wall/push__kettle_forward.jpg (optional; frame is the default poster)
push,book to table edge,Pushes the book towards the table edge with the right arm. Normal pace.,,push__book_to_table_edge,assets/video/wall/push__book_to_table_edge.mp4,assets/video/wall/push__book_to_table_edge.jpg (optional; frame is the default poster)
push,tissue into box,Pushes the tissue pack into the tissue box with the right arm. Normal pace.,,push__tissue_into_box,assets/video/wall/push__tissue_into_box.mp4,assets/video/wall/push__tissue_into_box.jpg (optional; frame is the default poster)
push,close drawer,Closes the drawer with the right arm. Normal pace.,,push__close_drawer,assets/video/wall/push__close_drawer.mp4,assets/video/wall/push__close_drawer.jpg (optional; frame is the default poster)
push,roll bottle,Rolls the bottle with the right arm. Normal pace.,,push__roll_bottle,assets/video/wall/push__roll_bottle.mp4,assets/video/wall/push__roll_bottle.jpg (optional; frame is the default poster)
insert,bread → machine,Insert the bread into the bread machine with the right arm. Normal pace.,,insert__bread_to_machine,assets/video/wall/insert__bread_to_machine.mp4,assets/video/wall/insert__bread_to_machine.jpg (optional; frame is the default poster)
insert,flower → vase,Inserts the flower into the vase with the right arm. Normal pace.,assets/frames/insert_flower.jpg,insert__flower_to_vase,assets/video/wall/insert__flower_to_vase.mp4,assets/video/wall/insert__flower_to_vase.jpg (optional; frame is the default poster)
insert,straw → cup,Inserts the straw into the plastic cup with the right arm. Normal pace.,assets/frames/insert_straw.jpg,insert__straw_to_cup,assets/video/wall/insert__straw_to_cup.mp4,assets/video/wall/insert__straw_to_cup.jpg (optional; frame is the default poster)
insert,plug → power strip,Inserts the plug into the power strip with the right arm. Normal pace.,,insert__plug_to_power_strip,assets/video/wall/insert__plug_to_power_strip.mp4,assets/video/wall/insert__plug_to_power_strip.jpg (optional; frame is the default poster)
insert,book out of shelf,Takes out the right-side book from the bookshelf with the right arm. Normal pace.,assets/frames/take_out_book.jpg,insert__book_out_of_shelf,assets/video/wall/insert__book_out_of_shelf.mp4,assets/video/wall/insert__book_out_of_shelf.jpg (optional; frame is the default poster)
insert,book into shelf,Puts the red book into the bookshelf with the right arm. Normal pace.,,insert__book_into_shelf,assets/video/wall/insert__book_into_shelf.mp4,assets/video/wall/insert__book_into_shelf.jpg (optional; frame is the default poster)
close,tissue box lid,Closes the tissue box lid with the right arm. Normal pace.,,close__tissue_box_lid,assets/video/wall/close__tissue_box_lid.mp4,assets/video/wall/close__tissue_box_lid.jpg (optional; frame is the default poster)
close,blue box lid,Closes the light blue box lid with the right arm. Normal pace.,,close__blue_box_lid,assets/video/wall/close__blue_box_lid.mp4,assets/video/wall/close__blue_box_lid.jpg (optional; frame is the default poster)
close,kettle lid,Closes the kettle lid with the right arm. Normal pace.,,close__kettle_lid,assets/video/wall/close__kettle_lid.mp4,assets/video/wall/close__kettle_lid.jpg (optional; frame is the default poster)
separate,paper cups,Separates the paper cups with both arms. Normal pace.,,separate__paper_cups,assets/video/wall/separate__paper_cups.mp4,assets/video/wall/separate__paper_cups.jpg (optional; frame is the default poster)
separate,pen cap off,Separates the signature pen cap with the right arm while holding the pen with the left arm. Normal pace.,assets/frames/unscrew_pencap.jpg,separate__pen_cap_off,assets/video/wall/separate__pen_cap_off.mp4,assets/video/wall/separate__pen_cap_off.jpg (optional; frame is the default poster)
separate,bottle cap off,Unscrews the bottle cap with both arms. Normal pace.,,separate__bottle_cap_off,assets/video/wall/separate__bottle_cap_off.mp4,assets/video/wall/separate__bottle_cap_off.jpg (optional; frame is the default poster)
press,lamp switch,Presses the lamp switch with the right arm. Normal pace.,,press__lamp_switch,assets/video/wall/press__lamp_switch.mp4,assets/video/wall/press__lamp_switch.jpg (optional; frame is the default poster)
press,bread machine button,Presses the button of the bread machine with the right arm. Normal pace.,,press__bread_machine_button,assets/video/wall/press__bread_machine_button.mp4,assets/video/wall/press__bread_machine_button.jpg (optional; frame is the default poster)
press,stapler,Presses the stapler to staple with the right arm. Normal pace.,,press__stapler,assets/video/wall/press__stapler.mp4,assets/video/wall/press__stapler.jpg (optional; frame is the default poster)
press,calculator button,Presses the button of the calculator with the right arm. Normal pace.,assets/frames/press_calculator.jpg,press__calculator_button,assets/video/wall/press__calculator_button.mp4,assets/video/wall/press__calculator_button.jpg (optional; frame is the default poster)
pull,pen cap off,Pull off the pen cap with the right arm. Normal pace.,,pull__pen_cap_off,assets/video/wall/pull__pen_cap_off.mp4,assets/video/wall/pull__pen_cap_off.jpg (optional; frame is the default poster)
pull,tissue from bag,Pull out one piece of tissue from the tissue bag with the right arm. Normal pace.,assets/frames/pull_tissue.jpg,pull__tissue_from_bag,assets/video/wall/pull__tissue_from_bag.mp4,assets/video/wall/pull__tissue_from_bag.jpg (optional; frame is the default poster)
pull,tray forward,Pulls the tray to the front of the table with the right arm. Normal pace.,,pull__tray_forward,assets/video/wall/pull__tray_forward.mp4,assets/video/wall/pull__tray_forward.jpg (optional; frame is the default poster)
pull,cable from box,Pulls the cable out of the storage box with the right arm. Normal pace.,,pull__cable_from_box,assets/video/wall/pull__cable_from_box.mp4,assets/video/wall/pull__cable_from_box.jpg (optional; frame is the default poster)
pull,unplug charger,Unplugs the charger from the power strip with the right arm while holding the power strip with the left arm. Normal pace.,,pull__unplug_charger,assets/video/wall/pull__unplug_charger.mp4,assets/video/wall/pull__unplug_charger.jpg (optional; frame is the default poster)
pull,open drawer,Opens the drawer with the right arm. Normal pace.,,pull__open_drawer,assets/video/wall/pull__open_drawer.mp4,assets/video/wall/pull__open_drawer.jpg (optional; frame is the default poster)
hang,towel rod → table,Pick the yellow towel from the rod and place it on the table with the right arm. Normal speed.,,hang__towel_rod_to_table,assets/video/wall/hang__towel_rod_to_table.mp4,assets/video/wall/hang__towel_rod_to_table.jpg (optional; frame is the default poster)
hang,towel onto rod,Hang the yellow towel on the rod with the right arm. Normal pace.,,hang__towel_onto_rod,assets/video/wall/hang__towel_onto_rod.mp4,assets/video/wall/hang__towel_onto_rod.jpg (optional; frame is the default poster)
hang,rag on storage box,Hangs the rag on the storage box with the left arm. Normal pace.,,hang__rag_on_storage_box,assets/video/wall/hang__rag_on_storage_box.mp4,assets/video/wall/hang__rag_on_storage_box.jpg (optional; frame is the default poster)
hang,hat on coat rack,Hangs the hat on the coat rack with the right arm. Normal pace.,,hang__hat_on_coat_rack,assets/video/wall/hang__hat_on_coat_rack.mp4,assets/video/wall/hang__hat_on_coat_rack.jpg (optional; frame is the default poster)
tear,envelope,Tears open the envelope with the left arm. Normal pace.,,tear__envelope,assets/video/wall/tear__envelope.mp4,assets/video/wall/tear__envelope.jpg (optional; frame is the default poster)
tear,paper towel sheet,Tears off one sheet of paper towel from the roll with both arms. Normal pace.,,tear__paper_towel_sheet,assets/video/wall/tear__paper_towel_sheet.mp4,assets/video/wall/tear__paper_towel_sheet.jpg (optional; frame is the default poster)
flip,close open book,Closes the open book with the right arm. Normal pace.,,flip__close_open_book,assets/video/wall/flip__close_open_book.mp4,assets/video/wall/flip__close_open_book.jpg (optional; frame is the default poster)
flip,open book,Opens the book with the right arm. Normal pace.,,flip__open_book,assets/video/wall/flip__open_book.mp4,assets/video/wall/flip__open_book.jpg (optional; frame is the default poster)
flip,book to front side,Flips the book to the front side with the right arm. Normal pace.,,flip__book_to_front_side,assets/video/wall/flip__book_to_front_side.mp4,assets/video/wall/flip__book_to_front_side.jpg (optional; frame is the default poster)
flip,plate over,Flips the plate over with the right arm. Normal pace.,,flip__plate_over,assets/video/wall/flip__plate_over.mp4,assets/video/wall/flip__plate_over.jpg (optional; frame is the default poster)
flip,coaster to front,Flips the coaster to the front side with the right arm. Normal pace.,,flip__coaster_to_front,assets/video/wall/flip__coaster_to_front.mp4,assets/video/wall/flip__coaster_to_front.jpg (optional; frame is the default poster)
flip,tissue pack to front,Flips the packaged tissues to the front side with the right arm. Normal pace.,,flip__tissue_pack_to_front,assets/video/wall/flip__tissue_pack_to_front.mp4,assets/video/wall/flip__tissue_pack_to_front.jpg (optional; frame is the default poster)
sweep,broom → dustpan,Dual arms collaborate to use the white broom to sweep fruit cubes into the white dustpan. Normal pace.,,sweep__broom_to_dustpan,assets/video/wall/sweep__broom_to_dustpan.mp4,assets/video/wall/sweep__broom_to_dustpan.jpg (optional; frame is the default poster)
sweep,cubes by hand,Sweep the fruit cubes with the right hand. Normal pace.,,sweep__cubes_by_hand,assets/video/wall/sweep__cubes_by_hand.mp4,assets/video/wall/sweep__cubes_by_hand.jpg (optional; frame is the default poster)
sweep,brush → dustpan,Sweeps the fruit cubes into the dustpan with the brush in the right arm while holding the dustpan with the left arm. Normal pace.,,sweep__brush_to_dustpan,assets/video/wall/sweep__brush_to_dustpan.mp4,assets/video/wall/sweep__brush_to_dustpan.jpg (optional; frame is the default poster)
zip,zip file bag,Zips up the file bag with both arms. Normal pace.,,zip__zip_file_bag,assets/video/wall/zip__zip_file_bag.mp4,assets/video/wall/zip__zip_file_bag.jpg (optional; frame is the default poster)
zip,unzip file bag,Unzips the file bag with both arms. Normal pace.,,zip__unzip_file_bag,assets/video/wall/zip__unzip_file_bag.mp4,assets/video/wall/zip__unzip_file_bag.jpg (optional; frame is the default poster)
zip,unzip pencil case,Unzips the pencil case with the right arm while holding the case with the left arm. Normal pace.,,zip__unzip_pencil_case,assets/video/wall/zip__unzip_pencil_case.mp4,assets/video/wall/zip__unzip_pencil_case.jpg (optional; frame is the default poster)
shake / stir,shake glass bottle,Shakes the glass bottle with the right arm. Normal pace.,,shake_stir__shake_glass_bottle,assets/video/wall/shake_stir__shake_glass_bottle.mp4,assets/video/wall/shake_stir__shake_glass_bottle.jpg (optional; frame is the default poster)
shake / stir,shake to check level,Shakes the bottle to check the remaining amount with the right arm. Normal pace.,,shake_stir__shake_to_check_level,assets/video/wall/shake_stir__shake_to_check_level.mp4,assets/video/wall/shake_stir__shake_to_check_level.jpg (optional; frame is the default poster)
shake / stir,stir coffee,Stirs the coffee in the glass cup with the chopstick with the right arm. Normal pace.,,shake_stir__stir_coffee,assets/video/wall/shake_stir__stir_coffee.mp4,assets/video/wall/shake_stir__stir_coffee.jpg (optional; frame is the default poster)
shake / stir,stir water in bowl,Stirs the water in the bowl with the spoon with the right arm. Normal pace.,,shake_stir__stir_water_in_bowl,assets/video/wall/shake_stir__stir_water_in_bowl.mp4,assets/video/wall/shake_stir__stir_water_in_bowl.jpg (optional; frame is the default poster)
